secteurs_enquete;secteurs_letudiant
Administration d'Etat, territoriale, hospitalière; Autre
Agences de communication, publicité; Autre
Agriculture, sylviculture et pêche; Autre
Autre; Autre
Autres secteurs industriels; Industrie-BTP
Bâtiment, travaux publics, construction; Industrie-BTP
Bureau d'études; Audit-Conseil-Bureau d'études
Cabinet d'audit, expertisecomptable; Audit-Conseil-Bureau d'études
Commerce / Distribution; Commerce-Distribution
Ecoindustrie, environnement et aménagement; Autre
Energie; Autre
Immobilier; Autre
industrie agroalimentaire; Industrie-BTP
Industrie automobile, aéronautique, navale, ferroviaire; Industrie-BTP
Industrie chimique, parachimique, pharmaceutique, cosmétique, transformation du caoutchouc et des plastiques; Industrie-BTP
Industries des technologies de l'information; Industrie-BTP
Institution financière / Banque / Assurance; Finance-Banque-Assurance
Luxe; Luxe
Médias, édition, art, culture ...; Média-Art-Culture
Société de conseil; Audit-Conseil-Bureau d'études
Technologies de l'information (services); TIC (services)
Tourisme, loisirs, hôtellerierestauration; Autre
Transports; Autre
